name
2-1B
4-LOM
8D8
99
0-0-0
A'Koba
Admiral Gial Ackbar
Sim Aloo
Almec
Mas Amedda
Amee

Padmé Amidala
Cassian Andor
Fodesinbeed Annodue
Raymus Antilles

Wedge Antilles
AP-5
Queen Apailana

Commander Appo
Doctor Aphra
Faro Argyus
Aiolin and Morit Astarte
Ello Asty
AZI-3

Ponda Baba
Kitster Banai

Cad Bane

Darth Bane
Barada
Jom Barell
Moradmin Bast

BB-8
BB-9E
Shara Bey
The Bendu
Sio Bibble
Depa Billaba

Jar Jar Binks
Temiri Blagg
Commander Bly
Bobbajo
Dud Bolt
Mister Bones
Lux Bonteri
Mina Bonteri
Borvo the Hutt
Bossk
Ezra Bridger
BT-1
Sora Bulq


C1-10P

C-3PO

Lando Calrissian
Moden Canady

Ransolm Casterfo

Chewbacca
Chief Chirpa
Rush Clovis

Commander Cody
Lieutenant Kaydel Ko Connix
Jeremoch Colton
Cordé
Salacious B. Crumb
Arvel Crynyd
Dr. Cylo
Larma D'Acy
Figrin D'an
Kes Dameron

Poe Dameron
Vober Dand
Joclad Danva
Dapp
Biggs Darklighter
Oro Dassyne
Gizor Dellso
Dengar
Bren Derlin
Ima-Gun Di

Rinnrivin Di
DJ
Lott Dod
Jan Dodonna
Daultay Dofine
Dogma


Count Dooku
Dormé
Cin Drallig
Garven Dreis
Droidbait
Lok Durd
Eirtaé
Dineé Ellberger
Ellé
Caluan Ematt
Embo
Emperor's Royal Guard
Jas Emari
Ebe E. Endocott
Galen Erso
Jyn Erso
Lyra Erso
EV-9D9
Moralo Eval

Cornelius Evazan
Onaconda Farr

Boba Fett

Jango Fett
Feral
Commander Fil

Finn
Kit Fisto
Fives
FN-1824
FN-2003

FN-2199
Bib Fortuna
Commander Fox
FX-7
GA-97
Adi Gallia
Gardulla the Hutt
Yarna d'al' Gargan
Garindan
Gasgano
Saw Gerrera
Gonk droid
Commander Gree

Greedo
Janus Greejatus
Captain Gregor


General Grievous
Grummgar
Gungi
Nute Gunray
Mars Guo
Rune Haako
Rako Hardeen
Gideon Hask
Hevy
San Hill
Clegg Holdfast
Vice Admiral Amilyn Holdo
Tey How
Huyang
Armitage Hux
Brendol Hux
IG-88
Chirrut Îmwe
Inquisitors
Grand Inquisitor
Fifth Brother
Sixth Brother
Seventh Sister
Eighth Brother
Sidon Ithano



Jabba the Hutt
Queen Jamillia
Wes Janson
Kanan Jarrus
Jaxxon
Greeata Jendowanian
Tiaan Jerjerrod
Commander Jet
Dexter Jettster

Qui-Gon Jinn
Jira
Jubnuk
K-2SO
Tee Watt Kaa
Agent Kallus
Harter Kalonia

Maz Kanata
Colonel Kaplan
Karbin
Karina the Great
Alton Kastle
King Katuunko
Coleman Kcaj


Obi-Wan Kenobi
Ki-Adi-Mundi
Klaatu

"Derek ""Hobbie"" Klivian"
Agen Kolar
Plo Koon
Eeth Koth
Sergeant Kreel
Pong Krell
Orson Krennic
Black Krrsantan
Bo-Katan Kryze
Satine Kryze
Conder Kyl
Thane Kyrell

L'ulo L'ampar

Beru Whitesun Lars
Cliegg Lars
Owen Lars
Cut Lawquane
Tasu Leech
Xamuel Lennox
"Tallissan ""Tallie"" Lintra"
Slowen Lo
Lobot
Logray
Lumat
Crix Madine
Shu Mai
Malakili
Baze Malbus
Mama the Hutt
Ody Mandrell

Darth Maul
Saelt-Marae
Mawhonic
Droopy McCool
Pharl McQuarrie
ME-8D9
Lyn Me
Tion Medon
Del Meeko
Aks Moe
Sly Moore
Morley

Delian Mors
Mon Mothma
Admiral Conan Antonio Motti
Jobal Naberrie
Pooja Naberrie
Ruwee Naberrie
Ryoo Naberrie
Sola Naberrie

Momaw Nadon
Boss Rugor Nass
Lorth Needa
Queen Neeyutnee
Bazine Netal
Niima the Hutt
Jocasta Nu
Po Nudo

Nien Nunb
Has Obbit
Barriss Offee
Hondo Ohnaka
Ric Olié
Omi
Ketsu Onyo
Oola
OOM-9
Savage Opress


Bail Prestor Organa

Breha Organa
Leia Organa
"Garazeb ""Zeb"" Orrelios"
Orrimaarko

Admiral Kendal Ozzel
Odd Ball
Pablo-Jill
Teemto Pagalies

"Jessika ""Jess"" Testor Pava"
Palpatine
Captain Panaka
Casca Panzoro
Reeve Panzoro
Baron Papanoida
Che Amanwe Papanoida
Chi Eekway Papanoida
Paploo
Captain Phasma
Even Piell
Admiral Firmus Piett
Darth Plagueis
Sarco Plank
Unkar Plutt
Poggle the Lesser
Yarael Poof
Jek Tono Porkins
Nahdonnis Praji
