name
Darth Vader
Anakin Skywalker
Luke Skywalker
Han Solo
Leia Organa
Obi-Wan Kenobi
C-3PO
R2-D2
Chewbacca
Yoda
Sheev Palpatine
Darth Sidious
Lando Calrissian
Padmé Amidala
Qui-Gon Jinn
Mace Windu
Rey
Kylo Ren
Ben Solo
Finn
FN-2187
BB-8
Poe Dameron
Ki-Adi-Mundi
Plo Koon
Saesee Tiin
Adi Gallia
Even Piell
Depa Billaba
Oppo Rancisis
Yarael Poof
Yaddle
Agen Kolar
Zett Jukassa
Shaak Ti
Kit Fisto
Aayla Secura
Luminara Unduli
Stass Allie
Barriss Offee
Jocasta Nu
Cin Drallig
Darth Maul
Count Dooku
Darth Tyranus
Orn Free Taa
Mas Amedda
Chancellor Finis Valorum
Prestor Bail Organa
Sly Moore
Onaconda Farr
Taun We
Lama Su
Chi Eekway Papanoida
Notluwiski Papanoida
Malé-Dee
Captain Jeremoch Colton
Commander Cody
Grand Moff Wilhuff Tarkin
General Cassio Tagge
Conan Antonio Motti
Wullf Yularen
Moradmin Bast
Nahdonnis Praji
Admiral Firmus Piett
Admiral Kendal Ozzel
Captain Lorth Needa
General Maximilian Veers
Moff Tiaan Jerjerrod
Supreme Leader Snoke
Captain Phasma
General Armitage Hux
First Order
Wedge Antilles
Captain Raymus Antilles
Biggs Darklighter
Jek Tono Porkins
Jan Dodonna
Zev Senesca
Dak Ralter
"Derek ""Hobbie"" Klivian"
Wes Janson
Major Bren Derlin
General Carlist Rieekan
Captain Pharl McQuarrie
Mon Mothma
Admiral Gial Ackbar
Nien Nunb
General Crix Madine
Arvel Crynyd
"Temmin ""Snap"" Wexley"
Korr Sella
"Jessika ""Jess"" Testor Pava"
PZ-4CO
Vice Admiral Amilyn Holdo
Rose Tico
Paige Tico
Battle droids
Nute Gunray
Rune Haako
Po Nudo
TC-14
Daultay Dofine
Lott Dod
Poggle the Lesser
Wat Tambor
San Hill
Shu Mai
General Grievous
Sio Bibble
Jar Jar Binks
Boss Rugor Nass
Captain Quarsh Panaka
Sabé
Captain Roos Tarpals
Ric Olié
Naboo
Gavyn Sykes
Saché
Captain Gregar Typho
Ruwee Naberrie
Jobal Naberrie
Sola Naberrie
Ryoo Naberrie
Pooja Naberrie
Queen Jamillia
Dormé
Cordé
Queen Apailana
Watto
Sebulba
Wald
Amee
Fode
Ody Mandrell
Owen Lars
Beru Whitesun
Shmi Skywalker
Cliegg Lars
Wuher
Dr. Cornelius Evazan
Ponda Baba
Momaw Nadon
Mos Eisley
Figrin D'an
Jabba the Hutt
Bib Fortuna
Salacious B. Crumb
Rancor
Gamorrean guards
Malakili
Tessek
Oola
Yuzzum
Ree-Yees
Wol Cabasshite
Elom
Gamorrean guards
Max Rebo
Siiruulian Phantele
Sy Snootles
Droopy McCool
Yarna d'al' Gargan
Lyn Me
Rystáll Sant
Greeata Jendowanian
Doda Bodonawieedo
Barquin D'an
Boba Fett
Greedo
Dengar
Bossk
Zuckuss
4-LOM
Aurra Sing
Jango Fett
Zam Wesell
Wicket W. Warrick
Paploo
Teebo
Chief Chirpa
Logray
Ewok
Ewok
Ewoks
Ewoks
Maz Kanata
Wollivan
Bazine Netal
ME-8D9
Unkar Plutt
Lor San Tekka
Teedo
Garindan
Jawas
Wampa
Lobot
Dexter Jettster
Tion Medon
Tarfful
Queen Breha Antilles Organa
Wookiees
R2-D2
Yoda
Jyn Erso
Cassian Andor
Han Solo
Chewbacca
Lando Calrissian
Bodhi Rook
Chirrut Îmwe
Baze Malbus
K-2SO
Orson Krennic
Darth Vader
Anakin Skywalker
Grand Moff Tarkin
Death Star
Tag Greenley
Bink Otauna
Galen Erso
Lyra Erso
Saw Gerrera
Mon Mothma
Bail Organa
Raymus Antilles
Jan Dodonna
Wedge Antilles
Leia Organa
C-3PO
R2-D2
Dr. Cornelius Evazan
Anakin Skywalker
Ahsoka Tano
Obi-Wan Kenobi
Clone troopers
Battle droids
Kanan Jarrus
Padmé Amidala
Jar Jar Binks
C-3PO
Sheev Palpatine
Darth Sidious
The Emperor
Wilhuff Tarkin
Grand Admiral Thrawn
Qui-Gon Jinn
Mace Windu
Yoda
Count Dooku
General Grievous
Darth Maul
Asajj Ventress
Cad Bane
Boba Fett
Saw Gerrera
Jabba the Hutt
Wedge Antilles
Chewbacca
Leia Organa
Luke Skywalker
Han Solo
Poe Dameron
Finn
Maz Kanata
Kylo Ren
Ben Solo
Rey
Jyn Erso
Chirrut Îmwe
Rose Tico
Wicket W. Warrick
Luke Skywalker
Han Solo
Leia Organa
Chewbacca
C-3PO
Obi-Wan Kenobi
Darth Vader
Anakin Skywalker
Yoda
Mace Windu
Ki-Adi-Mundi
Shaak Ti
Qui-Gon Jinn
Kit Fisto
Luminara Unduli
Bariss Offee
Adi Gallia
Oppo Rancisis
Saesee Tiin
Agen Kolar
Even Piell
Boba Fett
Chief Moradmin Bast
Darth Sidious
Wicket W. Warrick
Ewok
Teebo
Paploo
Chief Chirpa
Count Dooku
Padmé Amidala
Captain Gregar Typho
San Hill
General Grievous
Asajj Ventress
Nelvaanians
