name
Anakin Skywalker
Obi-Wan Kenobi
Ahsoka Tano
Captain Rex
Cin Drallig
Kit Fisto
Adi Gallia
Qui-Gon Jinn
Coleman Kcaj
Agen Kolar
Plo Koon
Eeth Koth
Ki-Adi-Mundi
Jocasta Nu
Barriss Offee
Oppo Rancisis
Aayla Secura
Tera Sinube
Shaak Ti
Saesee Tiin
Luminara Unduli
Mace Windu
Yoda
Mas Amedda
Padmé Amidala
Jar Jar Binks
Halle Burtoni
C-3PO
R2-D2
Riyo Chuchi
Mee Deechi
Onaconda Farr
Orn Free Taa
Meebur Gascon
Mon Mothma
Bail Organa
Palpatine
Lolo Purs
Nala Se
Wilhuff Tarkin
Gregar Typho
Finis Valorum
Wullf Yularen
Lux Bonteri
Mina Bonteri
Rush Clovis
Lott Dod
Count Dooku
Lok Durd
Nute Gunray
General Grievous
Poggle the Lesser
Darth Sidious
Wat Tambor
Bo-Katan Kryze
Satine Kryze
Pre Vizsla
Daka
Feral
Darth Maul
Savage Opress
Mother Talzin
Asajj Ventress
Viscus
Cad Bane
Bossk
Dengar
Embo
Boba Fett
Saw Gerrera
Steela Gerrera
Jabba the Hutt
Hondo Ohnaka
Latts Razzi
Aurra Sing
Sugi
Cham Syndulla
Todo 360
Ziro the Hutt
