name
8t88
Abeloth
King Adas
Darth Andeddu
Nom Anor
Bail Antilles
Arcann
Seti Ashgad
Attichitcuk
Tavion Axmis
Azrakel

Azzameen family
B4-D4
Darth Bandon
Garm Bel Iblis
Deliah Blue
Blue Max
Bollux
Empatojayos Brand
Malcor Brashin
Bana Breemu
Shira Brie
Noa Briqualon
Maris Brood
Sora Bulq
C-3PX


Darth Caedus
Yomin Carr
CB-99
Jorus C'baoth
Joruus C'baoth
Tycho Celchu
Charal
Chief Chirpa
Nas Choka
Shok Choka
Darth Cognus
Airen Cracken
Cradossk
Natasi Daala
Da'Gara
Hego Damask
Joclad Danva
Oro Dassyne
Gizor Delso
Desann
Darth Desolous
Dewlanna
D'harhan
Orgus Din
Vilim Disra
Teneniel Djo
Hiram Drayson
Dunhausen
Captain Dunwell
Durge
Kyp Durron
Juno Eclipse
Bant Eerin
Elan
Emtrey
Keyan Farlander
Jagged Fel
Roan Fel
Soontir Fel
Davin Felth
Borsk Fey'lya
Flim
Mirta Gev
Janus Greejatus
Falon Grey
Harra
A'Sharad Hett
Bertroff Hissa
Corran Horn
Ikrit
Armand Isard
Ysanne Isard
Irek Ismaren
Prince Isolder



Mara Jade Skywalker
Shimrra Jamaane
Wes Janson
Jarael
Carnor Jax
Jedgar
Jek-14
Jerec
ubnuk

Bardan Jusik
K-3PX
Tenel Ka
Kadann
Captain Kael
Kir Kanos
Saul Karath
Nomen Karr
Talon Karrde
Jodo Kast

Kyle Katarn
Owen Kenobi
Gavar Khai
Vestara Khai
Kleef
Ken
Jaden Korr
Rahm Kota
Krayn
Darth Krayt
Ludo Kressh
K'Kruhk
Exar Kun
An'ya Kuro
Tsavong Lah
Bevel Lemelisk
Xamuel Lennox
Lowbacca
Lumiya
Mako

Darth Malak
Darth Malgus
Kento Marek
Darth Marr
MD-5
Darth Millennial
Rom Mohc
Kasan Moor
Bengel Morr
Kud'ar Mub'at
Karness Muur

Grand Moff Muzzer
Darred Janred Naberrie
Freedon Nadd
Darth Nih
Darth Nihilus
Ona Nobis
Chop'aa Notimo
Astri Oddo
Ferus Olin
Cal Omas
Omega Squad
Granta Omega
Carth Onas
Onimi
Canderous Ordo
Orrin
Jan Ors
General Otto
Ajunta Pall
Kazdan Paratus
Jax Pavan
Gilad Pellaeon
Rosh Penin
Sate Pestage
PROXY
Pugwis
Ulic Qel-Droma
Ooryl Qrygg
Danni Quee
Sarcev Quest
Malavai Quinn
Vuffi Raa
Ahri Raas
Marka Ragnos
Qu Rahn
Alema Rar
Kybo Ren
Dash Rendar
Gault Rennow
Revan
Rookie One
Darth Ruin
Naga Sadow
Sage-Boneria
Sarkli
Admiral Sarn
Saba Sebatyne
Moff Kohl Seerdon
Shedao Shai
Bastila Shan
Satele Shan
Echuu Shen-Jon
Garris Shrike
Darth Sion
Kal Skirata
Ben Skywalker
Cade Skywalker
Kol Skywalker
Luuke Skywalker

Anakin Solo
Allana Solo

Jaina Solo
Thrackan Sal-Solo
Kam Solusar
Tionne Solusar
Uta S'orn


Starkiller / Galen Marek

Maarek Stele
Ozzik Sturn
Nomi Sunrider
Meetra Surik
Siri Tachi
Tahl
Darth Talon
Sev'rance Tann
Merillion Tarko
Darth Tenebrous
Booster Terrik
Mirax Terrik
Mod Terrik
Bria Tharen

Grand Moff Thistleborn
Raynar Thul
Tibor
Grodin Tierce
Rufaan Tigellinus
Tikkes
Sergeant Derek Torent


Darth Traya
Si Treemba
Antinnis Tremayne

Triclops

Trioculus
Longo Two-Guns
Odan-Urr
Shado Vao
Walon Vau
Morlish Veed
Tahiri Veila
Ailyn Vel
Sintas Vel
Vergere
Vette
Vima-Da-Boda
Darth Vitiate
Komari Vosa
Jaesa Willsaam
Winter
Darth Wyyrlok
X1
X2
Xanatos
Xasha
Prince Xizor
Zaalbar
Jenna Zan Arbor
Tyber Zann
Darth Zannah
Fang Zar
Zekk
Zorba the Hutt
Warlord Zsinj
Commodore Zuggs
